QB
Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Russell Wilson,QB,DEN,5.0,303.0,61.0,100.0,6.0,0.0,60.0,60.0,98.2,32.4
Jordan Love,QB,GB,5.0,299.0,60.0,98.0,6.0,0.0,60.0,60.0,96.2,32.2
Brock Purdy,QB,SF,5.0,316.0,63.0,95.0,4.0,0.0,47.0,47.0,99.2,31.4
Andy Dalton,QB,CAR,3.0,81.0,27.0,39.0,4.0,0.0,75.0,75.0,23.6,29.1
Jared Goff,QB,DET,5.0,338.0,68.0,99.0,4.0,0.0,51.0,51.0,96.7,28.6
RB
Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Justice Hill,RB,BAL,4.0,108.0,27.0,40.0,27.0,6.0,33.0,33.0,30.0,27.8
Tony Jones,RB,NO,4.0,88.0,22.0,33.0,24.0,7.0,28.0,31.0,21.1,24.0
Gus Edwards,RB,BAL,5.0,149.0,30.0,44.0,38.0,2.0,39.0,40.0,32.2,21.6
Jaylen Warren,RB,PIT,5.0,137.0,27.0,45.0,25.0,18.0,40.0,43.0,29.0,21.2
Jerick McKinnon,RB,KC,5.0,104.0,21.0,30.0,7.0,12.0,15.0,18.0,21.2,20.4
Tyjae Spears,RB,TEN,5.0,151.0,30.0,50.0,18.0,13.0,27.0,30.0,27.9,18.5
Samaje Perine,RB,DEN,5.0,141.0,28.0,47.0,17.0,13.0,28.0,30.0,23.6,16.7
AJ Dillon,RB,GB,5.0,179.0,36.0,59.0,36.0,3.0,37.0,39.0,27.9,15.6
Ezekiel Elliott,RB,NE,5.0,124.0,25.0,37.0,34.0,12.0,44.0,46.0,18.3,14.8
Devin Singletary,RB,HOU,5.0,110.0,22.0,32.0,25.0,5.0,29.0,30.0,16.2,14.7
WR
Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Nico Collins,WR,HOU,5.0,249.0,50.0,72.0,0.0,14.0,10.0,14.0,64.7,26.0
Rashee Rice,WR,KC,5.0,123.0,25.0,36.0,1.0,20.0,15.0,20.0,29.0,23.6
Kalif Raymond,WR,DET,5.0,118.0,24.0,35.0,2.0,12.0,11.0,14.0,27.5,23.3
Tank Dell,WR,HOU,5.0,208.0,42.0,60.0,2.0,13.0,11.0,15.0,45.3,21.8
River Cracraft,WR,MIA,3.0,70.0,23.0,34.0,0.0,11.0,9.0,11.0,14.7,21.0
Brandon Johnson,WR,DEN,5.0,148.0,30.0,49.0,0.0,7.0,5.0,7.0,30.2,20.4
Jayden Reed,WR,GB,5.0,179.0,36.0,59.0,1.0,15.0,8.0,16.0,34.8,19.4
Jakobi Meyers,WR,LV,4.0,240.0,60.0,90.0,0.0,15.0,11.0,15.0,45.4,18.9
Adam Thielen,WR,CAR,5.0,327.0,65.0,91.0,0.0,14.0,12.0,14.0,60.0,18.3
Robbie Chosen,WR,MIA,3.0,70.0,23.0,36.0,0.0,3.0,1.0,3.0,12.8,18.3
TE
Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Donald Parham,TE,LAC,4.0,123.0,31.0,44.0,0.0,7.0,5.0,7.0,21.3,17.3
Cole Kmet,TE,CHI,5.0,253.0,51.0,81.0,1.0,11.0,10.0,12.0,41.2,16.3
Logan Thomas,TE,WAS,4.0,204.0,51.0,70.0,0.0,12.0,9.0,13.0,28.5,14.0
Andrew Ogletree,TE,IND,4.0,111.0,28.0,39.0,0.0,9.0,6.0,9.0,15.5,14.0
Noah Fant,TE,SEA,4.0,131.0,33.0,52.0,0.0,8.0,8.0,8.0,16.0,12.2
